Date,Open,High,Low,Close,Volume
01/07/2022,"159.77","160.31","132.50","140.62","12,137,310"
01/06/2022,"132.84","137.70","121.14","131.03","6,051,480"
01/05/2022,"148.39","148.85","129.15","129.37","3,396,400"
01/04/2022,"152.17","152.99","143.05","148.91","1,834,894"
01/03/2022,"149.23","159.38","149.21","152.84","1,417,001"
12/31/2021,"153.62","156.73","148.10","148.39","1,393,964"
12/30/2021,"151.00","160.00","150.00","155.33","1,561,882"
12/29/2021,"147.85","155.49","142.14","153.93","2,037,406"
12/28/2021,"147.50","157.41","146.41","146.46","1,334,472"
12/27/2021,"152.00","152.62","140.00","148.31","1,615,449"
12/23/2021,"154.00","155.00","146.02","152.14","1,055,539"
12/22/2021,"158.33","159.15","152.12","154.00","1,047,154"
12/21/2021,"157.06","160.25","155.14","158.12","1,430,238"
12/20/2021,"153.19","159.68","149.70","157.14","1,828,561"
12/17/2021,"143.75","158.57","139.33","155.64","4,311,620"
12/16/2021,"152.93","154.44","142.13","144.59","2,164,762"
12/15/2021,"147.46","152.00","141.12","148.59","2,765,992"
12/14/2021,"131.00","150.37","129.50","147.69","6,512,133"
12/13/2021,"160.33","160.89","135.07","136.88","5,486,201"
12/10/2021,"159.83","162.30","148.00","159.01","4,526,860"
12/09/2021,"167.00","172.69","151.00","155.76","5,084,340"
12/08/2021,"176.60","180.25","171.96","173.65","2,611,195"
12/07/2021,"175.18","181.98","170.51","177.81","1,972,395"
12/06/2021,"166.00","173.34","163.20","167.12","2,228,636"
12/03/2021,"181.00","183.93","159.05","172.39","4,096,688"
12/02/2021,"185.00","187.43","173.07","181.56","2,087,100"
12/01/2021,"199.40","200.11","177.01","179.84","2,355,535"
11/30/2021,"200.10","203.95","188.00","196.21","1,723,949"
11/29/2021,"204.00","207.91","200.94","202.01","1,108,844"
11/26/2021,"208.08","211.73","199.20","199.72","1,235,277"
11/24/2021,"217.25","223.99","208.00","211.78","1,309,388"
11/23/2021,"243.84","252.20","212.56","213.90","3,351,636"
11/22/2021,"230.46","249.64","229.75","247.55","4,379,604"
11/19/2021,"209.14","229.39","208.25","228.80","3,043,720"
11/18/2021,"210.25","215.14","207.50","210.12","1,005,775"
11/17/2021,"206.30","217.70","206.00","210.00","1,352,714"
11/16/2021,"209.02","212.57","203.63","207.18","1,214,596"
11/15/2021,"203.86","211.50","201.69","209.14","1,466,424"
11/12/2021,"202.14","205.36","197.88","202.10","927,991"
11/11/2021,"200.00","208.09","198.15","204.32","1,079,401"
11/10/2021,"202.12","207.39","196.50","199.19","1,309,389"
11/09/2021,"222.00","223.49","204.44","206.60","1,845,298"
11/08/2021,"212.50","225.04","212.01","218.64","2,157,912"
11/05/2021,"220.64","221.00","209.01","213.25","1,810,717"
11/04/2021,"222.00","228.97","211.55","217.84","2,907,976"
11/03/2021,"214.00","255.69","208.25","218.33","11,265,590"
11/02/2021,"199.35","211.94","191.69","206.99","3,882,336"
11/01/2021,"182.53","208.57","182.05","200.09","4,944,203"
10/29/2021,"182.81","185.75","178.00","183.51","2,293,970"
10/28/2021,"175.16","183.14","175.00","182.85","1,696,206"
10/27/2021,"180.00","183.09","172.33","173.51","1,106,998"
10/26/2021,"173.36","185.00","172.50","177.84","2,176,749"
10/25/2021,"169.42","174.80","167.26","173.97","1,442,806"
10/22/2021,"178.10","179.49","167.80","169.80","2,800,443"
10/21/2021,"184.71","190.70","180.60","181.71","2,402,368"
10/20/2021,"186.33","188.00","181.98","184.52","2,276,903"
10/19/2021,"188.99","192.18","184.40","186.79","2,070,618"
10/18/2021,"182.94","189.87","182.55","186.02","1,589,648"
10/15/2021,"184.00","186.98","180.88","183.28","1,199,977"
10/14/2021,"183.76","190.20","182.60","183.83","1,676,008"
10/13/2021,"178.30","188.21","176.00","184.06","1,930,239"
10/12/2021,"180.50","181.78","173.80","175.82","1,233,652"
10/11/2021,"173.00","188.49","173.00","178.10","2,684,855"
10/08/2021,"172.50","175.72","171.12","172.68","818,207"
10/07/2021,"172.00","175.20","170.54","172.12","1,159,326"
10/06/2021,"170.06","172.96","165.81","171.07","1,200,320"
